,scores_stratified_KFold,scores_cross_val,accuracy_score
B08_10m B03_10m B8A_20m,0.5449596774193548,0.5300403225806452,0.41509433962264153
B08_10m B03_10m B11_20m,0.5711693548387096,0.583266129032258,0.2641509433962264
B08_10m B03_10m B12_20m,0.4231854838709677,0.4550403225806451,0.41509433962264153
B08_10m B03_20m B04_20m,0.5808467741935484,0.2610887096774193,0.6981132075471698
B08_10m B03_20m B05_20m,0.5268145161290322,0.4324596774193548,0.6792452830188679
B08_10m B03_20m B06_20m,0.4014112903225806,0.6066532258064516,0.6226415094339622
B08_10m B03_20m B07_20m,0.4554435483870968,0.3830645161290323,0.6415094339622641
B08_10m B03_20m B8A_20m,0.31693548387096776,0.5421370967741935,0.3018867924528302
B08_10m B03_20m B11_20m,0.4717741935483871,0.6155241935483872,0.18867924528301888
B08_10m B03_20m B12_20m,0.539516129032258,0.4860887096774193,0.3584905660377358
B08_10m B04_20m B05_20m,0.4556451612903226,0.4167338709677419,0.6792452830188679
B08_10m B04_20m B06_20m,0.29536290322580644,0.6090725806451613,0.03773584905660377
B08_10m B04_20m B07_20m,0.43326612903225803,0.4756048387096774,0.7358490566037735
B08_10m B04_20m B8A_20m,0.5110887096774193,0.4544354838709677,0.7169811320754716
B08_10m B04_20m B11_20m,0.5709677419354838,0.6334677419354838,0.6415094339622641
B08_10m B04_20m B12_20m,0.3796370967741935,0.2889112903225806,0.6415094339622641
B08_10m B05_20m B06_20m,0.6205645161290322,0.5102822580645161,0.7169811320754716
B08_10m B05_20m B07_20m,0.276008064516129,0.5393145161290323,0.11320754716981132
B08_10m B05_20m B8A_20m,0.2818548387096774,0.4747983870967742,0.09433962264150944
B08_10m B05_20m B11_20m,0.3262096774193548,0.313508064516129,0.018867924528301886
B08_10m B05_20m B12_20m,0.3540322580645161,0.2858870967741936,0.7924528301886793
B08_10m B06_20m B07_20m,0.388508064516129,0.4143145161290322,0.7547169811320755
B08_10m B06_20m B8A_20m,0.4193548387096774,0.5995967741935484,0.16981132075471697
B08_10m B06_20m B11_20m,0.4110887096774193,0.18185483870967742,0.6792452830188679
B08_10m B06_20m B12_20m,0.5401209677419355,0.4245967741935484,0.4716981132075472
B08_10m B07_20m B8A_20m,0.4546370967741936,0.4173387096774194,0.20754716981132076
B08_10m B07_20m B11_20m,0.47721774193548383,0.4209677419354838,0.6226415094339622
B08_10m B07_20m B12_20m,0.3423387096774193,0.5334677419354839,0.07547169811320754
B08_10m B8A_20m B11_20m,0.22056451612903225,0.451008064516129,0.5094339622641509
B08_10m B8A_20m B12_20m,0.4272177419354838,0.5584677419354838,0.6792452830188679
B08_10m B11_20m B12_20m,0.33931451612903224,0.3943548387096774,0.07547169811320754
B02_10m B04_10m B03_10m,0.44596774193548383,0.4387096774193548,0.18867924528301888
B02_10m B04_10m B03_20m,0.508266129032258,0.4866935483870968,0.6981132075471698
B02_10m B04_10m B04_20m,0.5425403225806452,0.09495967741935483,0.11320754716981132
B02_10m B04_10m B05_20m,0.380241935483871,0.5512096774193548,0.5849056603773585
B02_10m B04_10m B06_20m,0.4131048387096774,0.4731854838709677,0.41509433962264153
B02_10m B04_10m B07_20m,0.5872983870967742,0.3328629032258065,0.09433962264150944
B02_10m B04_10m B8A_20m,0.20141129032258065,0.448991935483871,0.11320754716981132
B02_10m B04_10m B11_20m,0.5711693548387097,0.5737903225806452,0.1509433962264151
B02_10m B04_10m B12_20m,0.30786290322580645,0.3016129032258065,0.6226415094339622
B02_10m B03_10m B03_20m,0.5362903225806451,0.5387096774193548,0.6415094339622641
B02_10m B03_10m B04_20m,0.677016129032258,0.4233870967741936,0.4716981132075472
B02_10m B03_10m B05_20m,0.313508064516129,0.24879032258064515,0.41509433962264153
B02_10m B03_10m B06_20m,0.4360887096774193,0.42056451612903223,0.7169811320754716
B02_10m B03_10m B07_20m,0.23629032258064514,0.5266129032258065,0.6415094339622641
B02_10m B03_10m B8A_20m,0.5493951612903225,0.4883064516129032,0.6792452830188679
B02_10m B03_10m B11_20m,0.4171370967741935,0.5266129032258065,0.22641509433962265
B02_10m B03_10m B12_20m,0.5078629032258064,0.4665322580645161,0.7547169811320755
B02_10m B03_20m B04_20m,0.319758064516129,0.658266129032258,0.6981132075471698
B02_10m B03_20m B05_20m,0.4655241935483871,0.38205645161290325,0.4528301886792453
B02_10m B03_20m B06_20m,0.2951612903225806,0.23286290322580644,0.6981132075471698
B02_10m B03_20m B07_20m,0.5328629032258064,0.3296370967741935,0.6792452830188679
B02_10m B03_20m B8A_20m,0.2913306451612903,0.4675403225806451,0.6981132075471698
B02_10m B03_20m B11_20m,0.4620967741935484,0.5143145161290322,0.7169811320754716
B02_10m B03_20m B12_20m,0.3667338709677419,0.4616935483870968,0.49056603773584906
B02_10m B04_20m B05_20m,0.47379032258064513,0.4399193548387097,0.49056603773584906
B02_10m B04_20m B06_20m,0.4298387096774194,0.6836693548387096,0.4339622641509434
B02_10m B04_20m B07_20m,0.4070564516129032,0.5459677419354838,0.1320754716981132
B02_10m B04_20m B8A_20m,0.2756048387096774,0.41471774193548383,0.6037735849056604
B02_10m B04_20m B11_20m,0.49233870967741933,0.6209677419354838,0.05660377358490566
B02_10m B04_20m B12_20m,0.2383064516129032,0.3348790322580645,0.6981132075471698
B02_10m B05_20m B06_20m,0.5048387096774193,0.3971774193548387,0.16981132075471697
B02_10m B05_20m B07_20m,0.4522177419354838,0.517741935483871,0.1320754716981132
B02_10m B05_20m B8A_20m,0.3421370967741935,0.4493951612903226,0.6792452830188679
B02_10m B05_20m B11_20m,0.3229838709677419,0.4955645161290322,0.6037735849056604
B02_10m B05_20m B12_20m,0.2923387096774194,0.444758064516129,0.7169811320754716
B02_10m B06_20m B07_20m,0.44254032258064513,0.442741935483871,0.4339622641509434
B02_10m B06_20m B8A_20m,0.4393145161290322,0.2604838709677419,0.24528301886792453
B02_10m B06_20m B11_20m,0.3352822580645161,0.4330645161290322,0.6792452830188679
B02_10m B06_20m B12_20m,0.4985887096774193,0.31391129032258064,0.0
B02_10m B07_20m B8A_20m,0.3987903225806452,0.4173387096774193,0.05660377358490566
B02_10m B07_20m B11_20m,0.30544354838709675,0.5868951612903225,0.018867924528301886
B02_10m B07_20m B12_20m,0.3830645161290322,0.4050403225806451,0.6981132075471698
B02_10m B8A_20m B11_20m,0.4768145161290322,0.4294354838709677,0.7169811320754716
B02_10m B8A_20m B12_20m,0.18830645161290321,0.30806451612903224,0.2641509433962264
B02_10m B11_20m B12_20m,0.3842741935483871,0.2719758064516129,0.6792452830188679
B04_10m B03_10m B03_20m,0.3425403225806451,0.5834677419354838,0.660377358490566
B04_10m B03_10m B04_20m,0.4209677419354838,0.2006048387096774,0.018867924528301886
B04_10m B03_10m B05_20m,0.5112903225806451,0.4175403225806451,0.6792452830188679
B04_10m B03_10m B06_20m,0.3570564516129032,0.2193548387096774,0.39622641509433965
B04_10m B03_10m B07_20m,0.3923387096774193,0.33004032258064514,0.24528301886792453
B04_10m B03_10m B8A_20m,0.4245967741935484,0.35221774193548383,0.11320754716981132
